鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
秀林鄉,土地,銅門段181~210地號,3540.0,,山坡地保育區,農牧用地,1070508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,28,,0.0,0,親友間交易,RPSNMLRJOHNFFAU47CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉南海五街241~270號,101.0,,鄉村區,乙種建築用地,1070419,土地1建物1車位0,全,一層,透天厝,商業用,鋼筋混凝土加強磚造,0690211,48.49,2,2,1,有,無,3000000,61868,,0.0,0,,RPWNMLRJOHNFFAU87CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東海十五街61~90號,84.0,住,,,1061206,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0900517,221.32,5,2,3,有,無,8500000,38406,,0.0,0,,RPWNMLLJOHNFFAU27CA
吉安鄉,土地,光學段181~210地號,1715.84,,一般農業區,農牧用地,1070418,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4420000,2576,,0.0,0,,RPQNMLTLNHNFFAU57CA
花蓮市,房地(土地+建物),花蓮縣花蓮市中和街189巷1~30號,36.98,住,,,1070417,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750402,138.62,3,2,2,有,無,4800000,34627,,0.0,0,,RPSNMLKMNHNFFAU96CA
花蓮市,房地(土地+建物),花蓮縣花蓮市國富六街1~30號,106.0,住,,,1070503,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0740724,230.62,5,2,6,有,無,12000000,52034,,0.0,0,,RPUNMLSLNHNFFAU87CA
壽豐鄉,土地,豐山段961~990地號,73.63,,鄉村區,乙種建築用地,1070514,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1113500,15123,,0.0,0,,RPRNMLPLNHNFFAU27CA
吉安鄉,土地,干城段661~690地號,982.84,,一般農業區,農牧用地,1070511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1410000,1435,,0.0,0,,RPTNMLPLNHNFFAU47CA
新城鄉,房地(土地+建物),花蓮縣新城鄉樹林街211~240號,91.06,,一般農業區,甲種建築用地,1070501,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0821229,136.73,4,2,3,有,無,3200000,23404,,0.0,0,,RPXNMLSLNHNFFAU18CA
花蓮市,房地(土地+建物),花蓮縣花蓮市成功街31~60號,27.46,住,,,1070514,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070322,79.14,2,1,2,有,無,4000000,50543,,0.0,0,,RPQOMLSLNHNFFAU57CA
新城鄉,房地(土地+建物),花蓮縣新城鄉鄉根1巷31~60號,93.57,,鄉村區,乙種建築用地,1070517,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0750730,96.8,2,2,2,有,無,2700000,27893,,0.0,0,,RPVOMLPLNHNFFAU77CA
吉安鄉,土地,光學段211~240地號,942.0,,一般農業區,農牧用地,1070418,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3120000,3312,,0.0,0,,RPPNMLKMNHNFFAU66CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉慈惠四街18巷8弄1~30號,126.0,住,,,1070509,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1060522,267.34,5,2,6,有,無,17800000,66582,,0.0,0,,RPQNMLKMNHNFFAU76CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉南海四街163巷1~30號,120.0,,特定農業區,甲種建築用地,1070513,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1050824,284.27,4,2,5,有,無,12300000,43269,,0.0,0,,RPPNMLLJOHNFFAU56CA
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛五街31~60號,10.26,住,,,1070509,土地1建物1車位0,三層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0810303,34.61,0,0,1,無,無,500000,14447,,0.0,0,,RPQNMLPJOHNFFAU07CA
新城鄉,房地(土地+建物),花蓮縣新城鄉復興路187巷1~30號,89.0,住,,,1070516,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1050204,196.83,4,2,5,有,無,11600000,58934,,0.0,0,,RPOPMLSJOHNFFAU37CA
新城鄉,房地(土地+建物),花蓮縣新城鄉嘉里四路20巷74弄1~30號,91.0,住,,,1070502,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0691105,83.79,4,1,3,有,無,5500000,65640,,0.0,0,,RPROMLLKOHNFFAU96CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉明義七街145巷46弄1~30號,90.51,,鄉村區,乙種建築用地,1070509,土地1建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土加強磚造,0680922,47.06,2,1,2,有,無,3350000,71186,,0.0,0,,RPPOMLLLOHNFFAU86CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉海岸路211~240號,108.0,,鄉村區,乙種建築用地,1070425,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1041007,231.06,5,2,6,有,無,16000000,69246,,0.0,0,,RPVNMLPLOHNFFAU77CA
鳳林鎮,房地(土地+建物),花蓮縣鳳林鎮中正路二段1~30號,32.03,住,,,1070509,土地1建物2車位0,一層，二層，騎樓,四層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0730114,98.00999999999999,1,1,1,有,無,2000000,20406,,0.0,0,,RPPNMLKMNHNFFBU76CA
瑞穗鄉,房地(土地+建物),花蓮縣瑞穗鄉中興路31~60號,132.57,住,,,1070509,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1070329,290.09,5,2,6,有,無,9300000,32059,,0.0,0,申報金額、建物格局由出賣人提供，移轉土地增值稅及契稅合計﹕145594元及代辦費由出賣人支付。,RPRNMLSLNHNFFCU77CA
富里鄉,土地,富豐段2101~2130地號,7422.0,,山坡地保育區,農牧用地,1070523,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,700000,94,,0.0,0,,RPPNMLKMNHNFFCU86CA
瑞穗鄉,房地(土地+建物),花蓮縣瑞穗鄉國光南路52巷1~30號,111.96,住,,,1070509,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070327,214.43,4,2,5,有,無,7500000,34976,,0.0,0,申報金額、建物格局由出賣人提供，移轉土地增值稅及契稅合計﹕136511元及代辦費由出賣人支付另含冷氣五台、熱水器三台、電視四台，窗簾、電燈、傢俱一至三樓皆由賣方提供及負擔。,RPRNMLKMNHNFFCU07CA
瑞穗鄉,房地(土地+建物),花蓮縣瑞穗鄉市場一路1~30號,89.0,住,,,1070514,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0800429,125.31,6,2,2,有,無,3500000,27931,,0.0,0,建物格局由出賣人提供，移轉稅費計﹕30188元及代辦費由權利人負擔。另增建部份有佔用他人土地已告之權利人，亦一併交付權利人使用收益。,RPSNMLKMNHNFFCU17CA
瑞穗鄉,房地(土地+建物),花蓮縣瑞穗鄉國光南路52巷1~30號,106.53,住,,,1070509,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070327,212.51,4,2,5,有,無,6550000,30822,,0.0,0,建物格局、申報金額及移轉稅費﹕132540元、代辨費，由出賣人負擔。,RPUNMLLMNHNFFCU47CA
吉安鄉,土地,東昌段91~120地號,231.22,其他,,,1070330,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1942248,8400,,0.0,0,協議價購,RPQOMLLLOHNFFAU17EA
