鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
北區,房地(土地+建物),臺中市北區富強街91~120號,21.02,住,,,1070501,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840303,120.5,3,2,2,有,有,5150000,42739,,0.0,0,含增建或未登記建物。,RPOOMLKLOHNFFBB47CA
北屯區,房地(土地+建物),臺中市北屯區和順路541~570號,22.75,住,,,1070406,土地1建物1車位0,一層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791228,114.44,3,2,2,有,有,4000000,34953,,0.0,0,,RPUNMLRLOHNFFBB68CA
北屯區,房地(土地+建物)+車位,臺中市北屯區太和東街181~210號,28.1,住,,,1070412,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041008,170.79,3,2,2,有,有,8800000,51525,坡道平面,33.58,0,,RPRRMLRLOHNFFBB78CA
北屯區,房地(土地+建物)+車位,臺中市北屯區柳陽東街61~90號,16.12,住,,,1070502,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841218,119.9,3,2,2,有,有,6200000,51710,升降機械,0.0,0,,RPSNMLSLOHNFFBB58CA
北區,房地(土地+建物),臺中市北區漢陽街59之1巷1~30號,80.0,住,,,1070401,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0730913,120.66,4,2,2,有,無,11000000,91165,,0.0,0,含增建或未登記建物。,RPROMLQLOHNFFBB38CA
北屯區,房地(土地+建物)+車位,臺中市北屯區軍福十三路121~150號,15.94,住,,,1070503,土地1建物1車位1,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030915,99.47999999999999,3,2,2,有,有,5000000,50261,坡道機械,14.9,0,,RPRQMLOKOHNFFBB28CA
北區,房地(土地+建物),臺中市北區陝西東一街1~30號,14.65,商,,,1070410,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050902,107.31,2,2,2,有,有,8550000,79676,,0.0,0,,RPXOMLMKOHNFFBB48CA
北區,房地(土地+建物)+車位,臺中市北區中清路一段631~660號,28.81,住,,,1070424,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061002,212.75,4,2,2,有,有,18320000,96072,坡道平面,34.03,1150000,,RPRNMLNKOHNFFBB87CA
北區,房地(土地+建物)+車位,臺中市北區中清路一段631~660號,28.81,住,,,1070330,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061002,212.68,4,2,2,有,有,18490000,95942,坡道平面,34.03,1350000,,RPSNMLNKOHNFFBB97CA
北屯區,房地(土地+建物)+車位,臺中市北屯區軍榮五街1~30號,21.35,住,,,1050831,土地2建物1車位1,十層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061225,159.71,3,2,2,有,有,9480000,65024,坡道平面,33.91,1300000,,RPXOMLLKOHNFFBB38CA
北屯區,房地(土地+建物),臺中市北屯區平德路96巷1~30號,98.0,住,,,1070418,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050930,236.27,4,3,4,有,無,23000000,97346,,0.0,0,,RPPPMLRJOHNFFBB18CA
北區,房地(土地+建物),臺中市北區梅亭街572巷1~30號,25.3,住,,,1070503,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691203,34.12,3,2,1,有,無,1103034,32328,,0.0,0,,RPPPMLQJOHNFFBB08CA
北屯區,房地(土地+建物)+車位,臺中市北屯區軍福十八路91~120號,33.39,住,,,1031115,土地3建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061208,170.95,3,2,2,有,有,10800000,63176,坡道平面,0.0,0,,RPTOMLQJOHNFFBB38CA
北屯區,房地(土地+建物),臺中市北屯區太和東街31~60號,150.35,住,,,1070319,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0991222,188.39,4,3,4,有,無,18000000,95546,,0.0,0,,RPWOMLQJOHNFFBB68CA
北屯區,房地(土地+建物)+車位,臺中市北屯區環太東路601~630號,25.62,住,,,1070425,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040615,151.51,3,2,2,有,有,6900000,45542,坡道平面,24.92,0,,RPPQMLLMNHNFFBB87CA
北區,房地(土地+建物),臺中市北區益華街39巷1~30號,39.5,住,,,1070428,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0640822,79.72,3,1,1,有,無,5200000,65228,,0.0,0,,RPQQMLLJOHNFFBB77CA
北區,房地(土地+建物),臺中市北區東興市場一樓31~60號,8.0,其他,,,1070513,土地1建物1車位0,一層，二層,二層,店面(店鋪),商業用,加強磚造,0560919,22.54,1,1,0,有,無,880000,39042,,0.0,0,,RPTQMLLJOHNFFBB08CA
北屯區,房地(土地+建物)+車位,臺中市北屯區軍和街1~30號,30.92,住,,,1070426,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0801226,203.17999999999998,4,2,2,有,有,7600000,37405,坡道平面,0.0,0,,RPQRMLLJOHNFFBB87CA
北區,房地(土地+建物),臺中市北區文武街1~30號,12.0,其他,,,1070421,土地1建物1車位0,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0771130,191.91,5,0,5,有,無,8700000,45334,,0.0,0,,RPRRMLLJOHNFFBB97CA
